"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Glistener Seer","U","C","231915","7.65","30224","10.66","62198","51.2%","11127","51.1%","15052","51.1%","26179","51.1%","35814","51.3%","-0.2pp"
"Awaken the Sleeper","R","U","85691","7.29","10748","10.67","7109","51.1%","1052","48.6%","1560","53.8%","2612","51.7%","4477","50.8%","1.0pp"
"Skyscythe Engulfer","G","C","228991","7.22","25698","10.68","35093","52.8%","5140","51.5%","7979","54.1%","13119","53.1%","21906","52.6%","0.5pp"
"Phyrexian Atlas","","C","229553","7.11","22043","10.77","25078","48.9%","4582","47.0%","5665","46.2%","10247","46.6%","14737","50.4%","-3.8pp"
"Vivisurgeon's Insight","U","C","229877","7.50","25924","10.78","46299","51.3%","7209","49.9%","11837","55.0%","19046","53.0%","27100","50.2%","2.9pp"
"Maze's Mantle","G","C","231456","7.32","25595","10.85","36112","52.5%","5562","50.3%","7638","51.9%","13200","51.2%","22889","53.2%","-1.9pp"
"The Surgical Bay","","C","236483","7.74","29037","10.89","95338","52.0%","16890","52.2%","22627","50.9%","39517","51.5%","55182","52.5%","-1.0pp"
"Font of Progress","U","U","86720","7.63","10012","11.17","3882","43.3%","674","37.2%","957","42.6%","1631","40.4%","2219","45.1%","-4.7pp"
"Cruel Grimnarch","B","C","232496","7.53","23627","11.18","24585","52.0%","3479","50.6%","5954","55.4%","9433","53.6%","15040","50.8%","2.9pp"
"Cutthroat Centurion","B","C","238883","8.01","25293","11.57","21965","51.0%","3627","48.7%","5066","51.1%","8693","50.1%","13236","51.5%","-1.4pp"
"Meldweb Curator","U","C","235687","8.05","25797","11.59","24409","49.4%","3921","45.9%","6220","51.4%","10141","49.3%","14088","49.4%","-0.0pp"
"Meldweb Strider","U","C","237892","8.19","27969","11.59","27816","50.5%","4210","49.2%","6690","51.6%","10900","50.7%","16819","50.4%","0.2pp"
"Thrill of Possibility","R","C","239123","8.35","31577","11.71","30005","52.2%","5060","48.7%","6775","50.4%","11835","49.7%","18165","53.8%","-4.1pp"
"Gitaxian Anatomist","U","C","236413","8.12","24456","11.84","21281","48.2%","3350","44.9%","5430","49.3%","8780","47.6%","12391","48.5%","-0.9pp"
"Aspirant's Ascent","U","C","237325","8.24","25986","11.91","20306","49.2%","3207","46.6%","4875","49.9%","8082","48.6%","12193","49.5%","-1.0pp"
"Myr Kinsmith","","C","243006","8.63","28875","12.11","9672","50.1%","1500","45.6%","1949","49.9%","3449","48.0%","4031","49.3%","-1.3pp"
"Myr Custodian","","C","244593","8.59","27812","12.21","11760","49.8%","2062","45.6%","2547","49.3%","4609","47.6%","6659","51.0%","-3.4pp"
"Minor Misstep","U","U","92180","8.55","10396","12.26","82","","10","","18","","28","","54","",""
"Duress","B","C","240507","8.68","21352","12.92","2485","47.5%","432","41.7%","553","43.2%","985","42.5%","1497","50.6%","-8.1pp"
